media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence
movie,0,,3,가거공니다달대될래려로리면미버부성션스식아어에우의이있작전정츄편하,가거니다대될래려로리면미버부성션스아어에우의이있정츄편하,28,공달식작전,5,320,0,0,0,0,0,24,5,320,-24,2,0,0,320,0,320,movie:0:684|movie:0:808|movie:0:948,confirmed_binary_and_builder_logic
movie,1,,6,가같과군그니단대데래련로름마망명무뭔미방버서션소스슨식아야어요우으은을음의이임입자지쭐청츄학한했훈,가같군그니대데래로마명무미방버서션소스슨아야어요우으은을음의이임입자지청츄한,38,과단련름망뭔식쭐학했훈,11,704,0,0,0,0,0,58,11,704,-58,0,0,0,704,0,704,movie:0:2184|movie:0:2300|movie:0:2440|movie:0:2684|movie:0:2828|movie:0:3048,confirmed_binary_and_builder_logic
movie,2,,6,가개계고공구국권그극기나노니도동라람래련로름리문바발병복비사서설소스시연우원으은을의이작잠장전중지최치콜테통파프하해,가개계고그기나니도라람래로리문바사서설소스시우원으은을의이지콜프하해,34,공구국권극노동련름발병복비연작잠장전중최치테통파,24,1536,0,0,0,0,0,46,24,1536,-46,5,4,0,1536,0,1540,movie:0:4260|movie:0:4384|movie:0:4524|movie:0:4664|movie:0:4820|movie:0:5116,confirmed_binary_and_builder_logic
movie,3,,2,공년련류비성소어에우월유은의인일주초최했행,성소어에우유은의인일행,11,공년련류비월주초최했,10,640,0,0,0,0,0,20,10,640,-20,0,0,0,640,0,640,movie:0:6360|movie:0:6476,confirmed_binary_and_builder_logic
movie,4,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic
movie,5,,4,가건걸것게고공과국그까꼭나는데도렇려로리린망명방버복부서시아안않어었오우원위으이작잠전조족중지진출켰탈터하한해,가건것게고그까나는데도렇려로리명방버부서시아안않어었우원위으이조지터하한해,37,걸공과국꼭린망복오작잠전족중진출켰탈,18,1152,0,0,0,0,0,59,18,1152,-59,3,0,0,1152,0,1152,movie:0:10900|movie:0:11080|movie:0:11192|movie:0:11372,confirmed_binary_and_builder_logic
movie,6,,5,게곧과그나냈너는데도래려로를린만머무베벽병빼사서소시어었에였완왔원을의이입있작장전정지쳐켰콜프한휘히,게그나는데도래려로를만머무사서소시어었에왔원을의이입있정지콜프한히,33,곧과냈너린베벽병빼였완작장전쳐켰휘,17,1088,0,0,0,0,0,77,17,1088,-77,0,0,0,1088,0,1088,movie:0:12776|movie:0:13076|movie:0:13944|movie:0:14220|movie:0:14572,confirmed_binary_and_builder_logic
movie,7,,3,거걸구까나넘는대도려련로를리린마말못베빠서설소시야에연였온의일정제져주지할,거까나는대도려로를리마말못서설소시야에의일정제지할,25,걸구넘련린베빠연였온져주,12,768,0,0,0,0,0,55,12,768,-55,5,4,0,768,0,772,movie:0:14756|movie:0:14900|movie:0:15064,confirmed_binary_and_builder_logic
movie,8,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic
movie,9,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic
movie,10,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic
