media,gcx,pinned_record,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,string_region_bytes,final_headroom,overflow_bytes,row_ids,confidence,layout_policy
codec,0,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,1,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,2,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,3,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,4,no,0,,,0,,0,0,3,0,0,0,0,0,0,0,0,0,36,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,5,no,0,,,0,,0,0,16,0,0,0,0,0,0,0,0,0,232,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,6,no,0,,,0,,0,0,5,0,0,0,0,0,0,0,0,0,44,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,7,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,8,no,0,,,0,,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,9,no,0,,,0,,0,0,21,0,0,0,0,0,0,0,0,0,228,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,10,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,11,no,0,,,0,,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,12,no,0,,,0,,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,13,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,13820,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,14,no,0,,,0,,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,15,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,4496,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,16,no,3,가거것게군기나다될들래리몰은이했,가거것게군기나다될들래리은이,14,몰했,2,128,0,0,0,0,0,25,2,128,-25,0,4732,0,103,codec:16:14|codec:16:15|codec:16:16,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,17,no,1,가기는니다달도됩마무비서에와입장조즉지찬현,가기는니다도마무서에와입조지,14,달됩비장즉찬현,7,448,0,0,0,0,0,25,7,448,-25,0,6524,0,423,codec:17:32,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,18,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2408,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
codec,19,no,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,0,,confirmed_binary_and_builder_logic,per_gcx_size_preserved; no record relocation
