scope,scope_id,glyph,cost_bytes,line_count,row_ids,english,korean,saving_if_removed_from_scope,english_substitution,scene
movie,0,공,64,1,movie:0:948,"If it succeeds, we'll be officially organized into a unit.",성공하면 정식 부대로 편성될 거다.,64,not_generated,
movie,0,달,64,1,movie:0:808,The future of our FOX unit depends on it.,우리 FOX 부대의 미래가 이 작전에 달려 있어.,64,not_generated,
movie,0,식,64,1,movie:0:948,"If it succeeds, we'll be officially organized into a unit.",성공하면 정식 부대로 편성될 거다.,64,not_generated,
movie,0,작,64,1,movie:0:808,The future of our FOX unit depends on it.,우리 FOX 부대의 미래가 이 작전에 달려 있어.,64,not_generated,
movie,0,전,64,1,movie:0:808,The future of our FOX unit depends on it.,우리 FOX 부대의 미래가 이 작전에 달려 있어.,64,not_generated,
movie,1,과,64,1,movie:0:3048,a certain Soviet scientist requested asylum in the West,소련의 한 과학자가 서방으로 망명을 요청했어.,64,not_generated,
movie,1,단,64,2,movie:0:2300|movie:0:2684,"Sounds like some kind of initiation ritual. || So, what exactly is this wonderful mission?","무슨 입단 의식 같은 이름이군. || 그래서, 그 대단한 임무가 뭔데?",64,not_generated,
movie,1,련,64,2,movie:0:2440|movie:0:3048,Don't get cocky. This isn't a training op. || a certain Soviet scientist requested asylum in the West,우쭐대지 마. 훈련이 아니야. || 소련의 한 과학자가 서방으로 망명을 요청했어.,64,not_generated,
movie,1,름,64,1,movie:0:2300,Sounds like some kind of initiation ritual.,무슨 입단 의식 같은 이름이군.,64,not_generated,
movie,1,망,64,1,movie:0:3048,a certain Soviet scientist requested asylum in the West,소련의 한 과학자가 서방으로 망명을 요청했어.,64,not_generated,
movie,1,뭔,64,1,movie:0:2684,"So, what exactly is this wonderful mission?","그래서, 그 대단한 임무가 뭔데?",64,not_generated,
movie,1,식,64,1,movie:0:2300,Sounds like some kind of initiation ritual.,무슨 입단 의식 같은 이름이군.,64,not_generated,
movie,1,쭐,64,1,movie:0:2440,Don't get cocky. This isn't a training op.,우쭐대지 마. 훈련이 아니야.,64,not_generated,
movie,1,학,64,1,movie:0:3048,a certain Soviet scientist requested asylum in the West,소련의 한 과학자가 서방으로 망명을 요청했어.,64,not_generated,
movie,1,했,64,1,movie:0:3048,a certain Soviet scientist requested asylum in the West,소련의 한 과학자가 서방으로 망명을 요청했어.,64,not_generated,
movie,1,훈,64,1,movie:0:2440,Don't get cocky. This isn't a training op.,우쭐대지 마. 훈련이 아니야.,64,not_generated,
movie,2,공,64,1,movie:0:4260,through one of our moles.,우리 잠복공작원을 통해서.,64,not_generated,
movie,2,구,64,2,movie:0:4664|movie:0:4820,"one of the Soviets' top-secret weapon research facilities, || and the East's foremost expert on weapons development.",소련의 극비 병기 연구시설 중 하나지. || 동구권 최고의 병기 개발 전문가이기도 해.,64,not_generated,
movie,2,국,64,1,movie:0:4524,"He's head of the OKB-754 Design Bureau,","OKB-754 설계국의 국장으로,",64,not_generated,
movie,2,권,64,1,movie:0:4820,and the East's foremost expert on weapons development.,동구권 최고의 병기 개발 전문가이기도 해.,64,not_generated,
movie,2,극,64,1,movie:0:4664,"one of the Soviets' top-secret weapon research facilities,",소련의 극비 병기 연구시설 중 하나지.,64,not_generated,
movie,2,노,64,1,movie:0:4384,His name is Nikolai Stepanovich Sokolov.,이름은 니콜라이 스테파노비치 소콜로프.,64,not_generated,
movie,2,동,64,1,movie:0:4820,and the East's foremost expert on weapons development.,동구권 최고의 병기 개발 전문가이기도 해.,64,not_generated,
movie,2,련,64,1,movie:0:4664,"one of the Soviets' top-secret weapon research facilities,",소련의 극비 병기 연구시설 중 하나지.,64,not_generated,
