media,scene,records,translation_records,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,string_delta_bytes,string_increase_bytes,scene_pad_budget,scene_total_growth,final_headroom,overflow_bytes,row_ids,confidence
demo_scene,2,5,3,10,간격경국기까나낙난넘녁는다대데들려로면못무방버보산서성송시어없엔오온완은이일임입잘잠저적전지충큰틴하확,간기까나난는다대데들려로면못무방버보서성시어없엔은이일임입잘저적지하,34,격경국낙넘녁산송오온완잠전충큰틴확,17,1088,0,0,243,-243,0,1798,1152,646,0,demo:2:2669172|demo:2:2669336|demo:2:2669792|demo:2:2670184|demo:2:2670600|demo:2:2670904|demo:2:5282592|demo:2:5282968|demo:2:5283268|demo:2:6088416,confirmed_scene_markers_padding_and_builder_logic
demo_scene,6,1,0,0,,,0,,0,0,0,0,0,0,0,1638,0,1638,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,7,1,0,0,,,0,,0,0,0,0,0,0,0,422,0,422,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,9,1,0,0,,,0,,0,0,0,0,0,0,0,1894,0,1894,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,10,3,3,5,가고군난너는다당데듣러려로름막머신왔요원을음의이장찬처철칭하,가고군난는다데듣러려로머왔요원을음의이하,20,너당름막신장찬처철칭,10,640,0,0,32,-32,0,534,640,0,106,demo:10:17222276|demo:10:17222632|demo:10:18715640|demo:10:19637924|demo:10:19638116,confirmed_scene_markers_padding_and_builder_logic
demo_scene,11,3,0,0,,,0,,0,0,0,0,0,0,0,1302,0,1302,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,12,5,2,2,것기꺼는다로리서소여우이제져콜프,것기는다로리서소여우이제콜프,14,꺼져,2,128,0,0,3,4,7,1669,128,1541,0,demo:12:22975180|demo:12:31740236,confirmed_scene_markers_padding_and_builder_logic
demo_scene,13,5,4,14,가게고그기끝나대돼래럼로면못발방법보봐성손시싫싶어없었에와완인제죽해,가게고그기나대래로면못방법보봐성시싶어없었에와인제죽해,27,끝돼럼발손싫완,7,448,0,0,243,-243,1,150,512,0,362,demo:13:50942544|demo:13:50943988|demo:13:52282852|demo:13:52283084|demo:13:52284100|demo:13:52284456|demo:13:52284744|demo:13:53378220|demo:13:53378532|demo:13:53379036|demo:13:53379248|demo:13:53379580|demo:13:53379900|demo:13:54391500,confirmed_scene_markers_padding_and_builder_logic
demo_scene,14,1,1,2,다동라북알았이쪽,다라알았이,5,동북쪽,3,192,0,0,3,-3,0,726,192,534,0,demo:14:55185364|demo:14:55185740,confirmed_scene_markers_padding_and_builder_logic
demo_scene,15,5,0,0,,,0,,0,0,0,0,0,0,0,549,0,549,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,17,1,0,0,,,0,,0,0,0,0,0,0,0,726,0,726,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,18,3,3,6,가거건게괜국군그기내는니다당데두렇려르를리마만망명물미방서쇠스씨아야우은음의이인자죽줄지찮키포하해획,가거건게군그기내는니다데렇려르를리마만명물미방서스아야우은음의이인자죽줄지키포하해획,42,괜국당두망쇠씨찮,8,512,0,0,17,-11,6,1350,512,838,0,demo:18:80849540|demo:18:80849704|demo:18:86384468|demo:18:86384660|demo:18:89151948|demo:18:89152260,confirmed_scene_markers_padding_and_builder_logic
demo_scene,20,1,0,0,,,0,,0,0,0,0,0,0,0,54,0,54,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,21,3,0,0,,,0,,0,0,0,0,0,0,0,86,0,86,0,,confirmed_scene_markers_padding_and_builder_logic
demo_scene,22,3,1,1,게그다야,게그다야,4,,0,0,0,0,0,0,0,134,0,134,0,demo:22:96099236,confirmed_scene_markers_padding_and_builder_logic
demo_scene,24,5,2,8,가기냐는닌다도돌때리무부아앞없엔와왔왜을이임있잖제죽지하,가기는다도돌때리무부아없엔와왔왜을이임있제죽지하,24,냐닌앞잖,4,256,0,0,123,-123,0,549,256,293,0,demo:24:103268132|demo:24:103268476|demo:24:103268816|demo:24:103269184|demo:24:103269560|demo:24:103270016|demo:24:103270144|demo:24:112550088,confirmed_scene_markers_padding_and_builder_logic
